"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
10870,"Game Start by TTL - leaving ready screen"
10870,"TR 1"
10871,"HOLD ... 4 secs ( for scanning )"
10871,"starting game"
14876,"HOLD ... 4 secs - variable presentation duration, ROUND 1"
14876,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 2, ROUND 1"
18877,"ANSWER TIMEOUT REACHED, TOO LATE"
18877,"SHOW: LATE SCREEN"
18878,"HOLD ... 1 secs"
19881,"CLEAR SCREEN , ROUND 1"
19890,"HOLD ... 1 secs - variable inter-trial delay, ROUND 2"
19890,"SHOW: inter-trial interval"
20894,"HOLD ... 6 secs - variable presentation duration, ROUND 2"
20894,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 3, ROUND 2"
21602,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
21602,"KEYPRESS: 1, OPTION: 1, ROUND 2"
21603,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
23604,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
23604,"SHOW: Results - reward: 5, CHOICE: sure bet"
24607,"CLEAR SCREEN , ROUND 2"
24616,"HOLD ... 5 secs - variable inter-trial delay, ROUND 3"
24616,"SHOW: inter-trial interval"
29616,"HOLD ... 5 secs - variable presentation duration, ROUND 3"
29616,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 5, ROUND 3"
31734,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
31734,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
31734,"KEYPRESS: 2, OPTION: 2, ROUND 3"
33735,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
33735,"SHOW: Results - reward: 2, CHOICE: gamble"
34738,"SHOW: RATING SELECTION, initial value: 0, ROUND 3"
36902,"HOLD ... 0 secs - variable inter-trial delay, ROUND 3"
36902,"SUBMIT rating value: 0, key: 3, ROUND 3"
36904,"HOLD ... 2 secs - variable inter-trial delay, ROUND 4"
36904,"SHOW: inter-trial interval"
38905,"HOLD ... 7 secs - variable presentation duration, ROUND 4"
38905,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 0, ROUND 4"
40846,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
40846,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
40846,"KEYPRESS: 1, OPTION: 1, ROUND 4"
42847,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
42847,"SHOW: Results - reward: 2, CHOICE: sure bet"
43851,"CLEAR SCREEN , ROUND 4"
43860,"HOLD ... 2 secs - variable inter-trial delay, ROUND 5"
43860,"SHOW: inter-trial interval"
45862,"HOLD ... 13 secs - variable presentation duration, ROUND 5"
45862,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 6, ROUND 5"
46806,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 5"
46806,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
46806,"KEYPRESS: 2, OPTION: 2, ROUND 5"
48808,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
48808,"SHOW: Results - reward: 2, CHOICE: gamble"
49812,"SHOW: RATING SELECTION, initial value: 0, ROUND 5"
51294,"HOLD ... 0 secs - variable inter-trial delay, ROUND 5"
51294,"SUBMIT rating value: 0, key: 3, ROUND 5"
51297,"HOLD ... 2 secs - variable inter-trial delay, ROUND 6"
51297,"SHOW: inter-trial interval"
53299,"HOLD ... 7 secs - variable presentation duration, ROUND 6"
53299,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 4, ROUND 6"
55650,"KEYPRESS: 3 (IGNORED) "
56786,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 6"
56786,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
56786,"KEYPRESS: 2, OPTION: 2, ROUND 6"
58789,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
58789,"SHOW: Results - reward: 3, CHOICE: sure bet"
59789,"SHOW: RATING SELECTION, initial value: 0, ROUND 6"
64019,"HOLD ... 0 secs - variable inter-trial delay, ROUND 6"
64019,"SUBMIT rating value: 0, key: 3, ROUND 6"
64021,"HOLD ... 7 secs - variable inter-trial delay, ROUND 7"
64021,"SHOW: inter-trial interval"
71022,"HOLD ... 6 secs - variable presentation duration, ROUND 7"
71022,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 0, ROUND 7"
72479,"KEYPRESS: 1, OPTION: 1, ROUND 7"
72480,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 7"
72480,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
74482,"HOLD ... 1 secs - fixed outcome duration, ROUND 7"
74482,"SHOW: Results - reward: 2, CHOICE: sure bet"
75484,"CLEAR SCREEN , ROUND 7"
75492,"HOLD ... 3 secs - variable inter-trial delay, ROUND 8"
75492,"SHOW: inter-trial interval"
78497,"HOLD ... 6 secs - variable presentation duration, ROUND 8"
78497,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 4, ROUND 8"
80786,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 8"
80786,"KEYPRESS: 1, OPTION: 1, ROUND 8"
80787,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
82787,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
82787,"SHOW: Results - reward: 5, CHOICE: sure bet"
83791,"CLEAR SCREEN , ROUND 8"
83800,"HOLD ... 1 secs - variable inter-trial delay, ROUND 9"
83800,"SHOW: inter-trial interval"
84800,"HOLD ... 6 secs - variable presentation duration, ROUND 9"
84800,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 9"
86118,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 9"
86118,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
86118,"KEYPRESS: 1, OPTION: 1, ROUND 9"
88119,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
88119,"SHOW: Results - reward: 3, CHOICE: gamble"
89119,"SHOW: RATING SELECTION, initial value: 0, ROUND 9"
91606,"HOLD ... 0 secs - variable inter-trial delay, ROUND 9"
91606,"SUBMIT rating value: 0, key: 3, ROUND 9"
91609,"HOLD ... 2 secs - variable inter-trial delay, ROUND 10"
91609,"SHOW: inter-trial interval"
93610,"HOLD ... 1 secs - variable presentation duration, ROUND 10"
93610,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 3, ROUND 10"
94612,"ANSWER TIMEOUT REACHED, TOO LATE"
94612,"HOLD ... 1 secs"
94612,"SHOW: LATE SCREEN"
95612,"CLEAR SCREEN , ROUND 10"
95620,"HOLD ... 2 secs - variable inter-trial delay, ROUND 11"
95620,"SHOW: inter-trial interval"
97624,"HOLD ... 7 secs - variable presentation duration, ROUND 11"
97624,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 11"
99498,"KEYPRESS: 2, OPTION: 2, ROUND 11"
99499,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 11"
99499,"HOLD ... 2 secs - fixed choice duration, ROUND 11"
101500,"HOLD ... 1 secs - fixed outcome duration, ROUND 11"
101500,"SHOW: Results - reward: 2, CHOICE: sure bet"
102500,"CLEAR SCREEN , ROUND 11"
102508,"HOLD ... 2 secs - variable inter-trial delay, ROUND 12"
102508,"SHOW: inter-trial interval"
104508,"HOLD ... 8 secs - variable presentation duration, ROUND 12"
104508,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 2, ROUND 12"
105718,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 12"
105718,"HOLD ... 2 secs - fixed choice duration, ROUND 12"
105718,"KEYPRESS: 1, OPTION: 1, ROUND 12"
107722,"HOLD ... 1 secs - fixed outcome duration, ROUND 12"
107722,"SHOW: Results - reward: 2, CHOICE: gamble"
108722,"SHOW: RATING SELECTION, initial value: 0, ROUND 12"
109914,"HOLD ... 0 secs - variable inter-trial delay, ROUND 12"
109914,"SUBMIT rating value: 0, key: 3, ROUND 12"
109917,"HOLD ... 1 secs - variable inter-trial delay, ROUND 13"
109917,"SHOW: inter-trial interval"
