"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
9277,"Game Start by TTL - leaving ready screen"
9277,"HOLD ... 4 secs ( for scanning )"
9277,"TR 1"
9277,"starting game"
13282,"HOLD ... 6 secs - variable presentation duration, ROUND 1"
13282,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 3, ROUND 1"
14906,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
14906,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
14906,"KEYPRESS: 1, OPTION: 1, ROUND 1"
16909,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
16909,"SHOW: Results - reward: 6, CHOICE: sure bet"
17912,"CLEAR SCREEN , ROUND 1"
17921,"HOLD ... 3 secs - variable inter-trial delay, ROUND 2"
17921,"SHOW: inter-trial interval"
20924,"HOLD ... 6 secs - variable presentation duration, ROUND 2"
20924,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 6, ROUND 2"
22369,"KEYPRESS: 1, OPTION: 1, ROUND 2"
22370,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
22370,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
24373,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
24373,"SHOW: Results - reward: 6, CHOICE: sure bet"
25373,"CLEAR SCREEN , ROUND 2"
25381,"HOLD ... 2 secs - variable inter-trial delay, ROUND 3"
25381,"SHOW: inter-trial interval"
27381,"HOLD ... 5 secs - variable presentation duration, ROUND 3"
27381,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 1, ROUND 3"
28908,"KEYPRESS: 2, OPTION: 2, ROUND 3"
28909,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
28909,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
30911,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
30911,"SHOW: Results - reward: 5, CHOICE: sure bet"
31911,"CLEAR SCREEN , ROUND 3"
31915,"HOLD ... 6 secs - variable inter-trial delay, ROUND 4"
31915,"SHOW: inter-trial interval"
37919,"HOLD ... 3 secs - variable presentation duration, ROUND 4"
37919,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 1, ROUND 4"
39397,"KEYPRESS: 1, OPTION: 1, ROUND 4"
39398,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
39398,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
41401,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
41401,"SHOW: Results - reward: 4, CHOICE: sure bet"
42406,"SHOW: RATING SELECTION, initial value: 0, ROUND 4"
