"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
5772,"Game Start by TTL - leaving ready screen"
5772,"TR 1"
5773,"HOLD ... 4 secs ( for scanning )"
5773,"starting game"
9783,"HOLD ... 3 secs - variable presentation duration, ROUND 1"
9783,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 5, ROUND 1"
12793,"ANSWER TIMEOUT REACHED, TOO LATE"
12793,"SHOW: LATE SCREEN"
12794,"HOLD ... 1 secs"
13801,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
16770,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
16770,"SUBMIT rating value: 0, key: 3, ROUND 1"
16775,"HOLD ... 4 secs - variable inter-trial delay, ROUND 2"
16775,"SHOW: inter-trial interval"
20777,"HOLD ... 4 secs - variable presentation duration, ROUND 2"
20777,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 6, ROUND 2"
23148,"KEYPRESS: 1, OPTION: 1, ROUND 2"
23149,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
23149,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
25152,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
25152,"SHOW: Results - reward: 4, CHOICE: gamble"
26154,"CLEAR SCREEN , ROUND 2"
26161,"HOLD ... 5 secs - variable inter-trial delay, ROUND 3"
26161,"SHOW: inter-trial interval"
31163,"HOLD ... 10 secs - variable presentation duration, ROUND 3"
31163,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 2, ROUND 3"
33298,"KEYPRESS: 1, OPTION: 1, ROUND 3"
33299,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
33299,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
35302,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
