"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
11136,"Game Start by TTL - leaving ready screen"
11136,"TR 1"
11144,"HOLD ... 4 secs ( for scanning )"
11144,"starting game"
15150,"HOLD ... 5 secs - variable presentation duration, ROUND 1"
15150,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 2, ROUND 1"
16932,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
16932,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
16932,"KEYPRESS: 2, OPTION: 2, ROUND 1"
18934,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
18934,"SHOW: Results - reward: 2, CHOICE: sure bet"
19936,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
23996," SLIDER increased, value: 1, key: 2, ROUND 1"
24380," SLIDER increased, value: 2, key: 2, ROUND 1"
30956,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
30956,"SUBMIT rating value: 2, key: 3, ROUND 1"
30958,"HOLD ... 3 secs - variable inter-trial delay, ROUND 2"
30958,"SHOW: inter-trial interval"
33960,"HOLD ... 6 secs - variable presentation duration, ROUND 2"
33960,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 2"
38184,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
38184,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
38184,"KEYPRESS: 1, OPTION: 1, ROUND 2"
40187,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
40187,"SHOW: Results - reward: 5, CHOICE: sure bet"
40197,"KEYPRESS: 3, DISABLED"
41190,"CLEAR SCREEN , ROUND 2"
41197,"HOLD ... 5 secs - variable inter-trial delay, ROUND 3"
41197,"SHOW: inter-trial interval"
46198,"HOLD ... 7 secs - variable presentation duration, ROUND 3"
46198,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 2, ROUND 3"
48377,"KEYPRESS: 2, OPTION: 2, ROUND 3"
48378,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
48378,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
50379,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
50379,"SHOW: Results - reward: 5, CHOICE: sure bet"
51380,"CLEAR SCREEN , ROUND 3"
51386,"HOLD ... 4 secs - variable inter-trial delay, ROUND 4"
51386,"SHOW: inter-trial interval"
55387,"HOLD ... 5 secs - variable presentation duration, ROUND 4"
55387,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 4, ROUND 4"
58237,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
58237,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
58237,"KEYPRESS: 2, OPTION: 2, ROUND 4"
60239,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
60239,"SHOW: Results - reward: 5, CHOICE: sure bet"
61240,"CLEAR SCREEN , ROUND 4"
61246,"HOLD ... 1 secs - variable inter-trial delay, ROUND 5"
61246,"SHOW: inter-trial interval"
62247,"HOLD ... 3 secs - variable presentation duration, ROUND 5"
62247,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 3, ROUND 5"
63621,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
63621,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
63621,"KEYPRESS: 1, OPTION: 1, ROUND 5"
65624,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
65624,"SHOW: Results - reward: 4, CHOICE: gamble"
66625,"CLEAR SCREEN , ROUND 5"
66631,"HOLD ... 3 secs - variable inter-trial delay, ROUND 6"
66631,"SHOW: inter-trial interval"
69633,"HOLD ... 5 secs - variable presentation duration, ROUND 6"
69633,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 6"
71117,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 6"
71117,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
71117,"KEYPRESS: 2, OPTION: 2, ROUND 6"
73119,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
73119,"SHOW: Results - reward: 4, CHOICE: sure bet"
74120,"SHOW: RATING SELECTION, initial value: 0, ROUND 6"
76513," SLIDER decreased, value: -1, key: 1, ROUND 6"
76797," SLIDER decreased, value: -2, key: 1, ROUND 6"
77981," SLIDER increased, value: -1, key: 2, ROUND 6"
78301," SLIDER increased, value: 0, key: 2, ROUND 6"
78733," SLIDER increased, value: 1, key: 2, ROUND 6"
89125," SLIDER increased, value: 2, key: 2, ROUND 6"
90001,"HOLD ... 0 secs - variable inter-trial delay, ROUND 6"
90001,"SUBMIT rating value: 2, key: 3, ROUND 6"
90004,"HOLD ... 5 secs - variable inter-trial delay, ROUND 7"
90004,"SHOW: inter-trial interval"
95005,"HOLD ... 1 secs - variable presentation duration, ROUND 7"
95005,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 6, ROUND 7"
96009,"ANSWER TIMEOUT REACHED, TOO LATE"
96009,"HOLD ... 1 secs"
96009,"SHOW: LATE SCREEN"
97010,"SHOW: RATING SELECTION, initial value: 0, ROUND 7"
98517," SLIDER increased, value: 1, key: 2, ROUND 7"
99019," SLIDER increased, value: 2, key: 2, ROUND 7"
99815," SLIDER decreased, value: 1, key: 1, ROUND 7"
100095," SLIDER decreased, value: 0, key: 1, ROUND 7"
