"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
10799,"Game Start by TTL - leaving ready screen"
10799,"HOLD ... 4 secs ( for scanning )"
10799,"TR 1"
10799,"starting game"
14805,"HOLD ... 8 secs - variable presentation duration, ROUND 1"
14805,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 1"
15778,"KEYPRESS: 1, OPTION: 1, ROUND 1"
15779,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
15779,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
17779,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
17779,"SHOW: Results - reward: 5, CHOICE: sure bet"
18781,"CLEAR SCREEN , ROUND 1"
18786,"HOLD ... 1 secs - variable inter-trial delay, ROUND 2"
18786,"SHOW: inter-trial interval"
19788,"HOLD ... 4 secs - variable presentation duration, ROUND 2"
19788,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 4, ROUND 2"
20414,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
20414,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
20414,"KEYPRESS: 1, OPTION: 1, ROUND 2"
22415,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
22415,"SHOW: Results - reward: 6, CHOICE: sure bet"
23417,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
24362," SLIDER increased, value: 1, key: 2, ROUND 2"
24662," SLIDER increased, value: 2, key: 2, ROUND 2"
25158," SLIDER increased, value: 3, key: 2, ROUND 2"
25470,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
25470,"SUBMIT rating value: 3, key: 3, ROUND 2"
25473,"HOLD ... 3 secs - variable inter-trial delay, ROUND 3"
25473,"SHOW: inter-trial interval"
28475,"HOLD ... 3 secs - variable presentation duration, ROUND 3"
28475,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 5, ROUND 3"
29238,"KEYPRESS: 1, OPTION: 1, ROUND 3"
29239,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
29239,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
31240,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
31240,"SHOW: Results - reward: 6, CHOICE: sure bet"
32241,"CLEAR SCREEN , ROUND 3"
