"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
7598,"Game Start by TTL - leaving ready screen"
7598,"HOLD ... 4 secs ( for scanning )"
7598,"TR 1"
7598,"starting game"
11604,"HOLD ... 6 secs - variable presentation duration, ROUND 1"
11604,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 3, ROUND 1"
12540,"KEYPRESS: 2, OPTION: 2, ROUND 1"
12541,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
12541,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
14544,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
14544,"SHOW: Results - reward: 4, CHOICE: sure bet"
15545,"CLEAR SCREEN , ROUND 1"
15551,"HOLD ... 7 secs - variable inter-trial delay, ROUND 2"
15551,"SHOW: inter-trial interval"
22552,"HOLD ... 7 secs - variable presentation duration, ROUND 2"
22552,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 5, ROUND 2"
23492,"KEYPRESS: 1, OPTION: 1, ROUND 2"
23493,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
23493,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
25495,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
25495,"SHOW: Results - reward: 5, CHOICE: sure bet"
26496,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
28772," SLIDER increased, value: 1, key: 2, ROUND 2"
29396,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
29396,"SUBMIT rating value: 1, key: 3, ROUND 2"
29398,"HOLD ... 1 secs - variable inter-trial delay, ROUND 3"
29398,"SHOW: inter-trial interval"
30399,"HOLD ... 5 secs - variable presentation duration, ROUND 3"
30399,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 0, ROUND 3"
31748,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
31748,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
31748,"KEYPRESS: 2, OPTION: 2, ROUND 3"
33752,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
33752,"SHOW: Results - reward: 2, CHOICE: sure bet"
34753,"CLEAR SCREEN , ROUND 3"
34759,"HOLD ... 5 secs - variable inter-trial delay, ROUND 4"
34759,"SHOW: inter-trial interval"
39759,"HOLD ... 5 secs - variable presentation duration, ROUND 4"
39759,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 1, ROUND 4"
41692,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
41692,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
41692,"KEYPRESS: 1, OPTION: 1, ROUND 4"
43694,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
43694,"SHOW: Results - reward: 1, CHOICE: sure bet"
44695,"CLEAR SCREEN , ROUND 4"
44700,"HOLD ... 3 secs - variable inter-trial delay, ROUND 5"
44700,"SHOW: inter-trial interval"
47701,"HOLD ... 6 secs - variable presentation duration, ROUND 5"
47701,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 4, ROUND 5"
49732,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
49732,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
49732,"KEYPRESS: 1, OPTION: 1, ROUND 5"
51734,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
51734,"SHOW: Results - reward: 4, CHOICE: gamble"
52735,"CLEAR SCREEN , ROUND 5"
52741,"HOLD ... 5 secs - variable inter-trial delay, ROUND 6"
52741,"SHOW: inter-trial interval"
57741,"HOLD ... 4 secs - variable presentation duration, ROUND 6"
57741,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 1, ROUND 6"
59828,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 6"
59828,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
59828,"KEYPRESS: 2, OPTION: 2, ROUND 6"
61831,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
61831,"SHOW: Results - reward: 2, CHOICE: gamble"
62832,"SHOW: RATING SELECTION, initial value: 0, ROUND 6"
64299,"HOLD ... 0 secs - variable inter-trial delay, ROUND 6"
64299,"SUBMIT rating value: 0, key: 3, ROUND 6"
64302,"HOLD ... 5 secs - variable inter-trial delay, ROUND 7"
