"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
7789,"Game Start by TTL - leaving ready screen"
7789,"TR 1"
7790,"HOLD ... 4 secs ( for scanning )"
7790,"starting game"
11811,"HOLD ... 10 secs - variable presentation duration, ROUND 1"
11811,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 2, ROUND 1"
13081,"KEYPRESS: 2, OPTION: 2, ROUND 1"
13082,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
13082,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
15089,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
15089,"SHOW: Results - reward: 6, CHOICE: sure bet"
16092,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
18720," SLIDER increased, value: 1, key: 2, ROUND 1"
19197,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
19197,"SUBMIT rating value: 1, key: 3, ROUND 1"
19210,"HOLD ... 2 secs - variable inter-trial delay, ROUND 2"
19210,"SHOW: inter-trial interval"
21218,"HOLD ... 2 secs - variable presentation duration, ROUND 2"
21218,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 6, ROUND 2"
23128,"KEYPRESS: 1, OPTION: 1, ROUND 2"
23129,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
23129,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
25132,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
25132,"SHOW: Results - reward: 6, CHOICE: gamble"
26132,"CLEAR SCREEN , ROUND 2"
26143,"HOLD ... 2 secs - variable inter-trial delay, ROUND 3"
26143,"SHOW: inter-trial interval"
28145,"HOLD ... 6 secs - variable presentation duration, ROUND 3"
28145,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 1, ROUND 3"
29459,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
29459,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
29459,"KEYPRESS: 2, OPTION: 2, ROUND 3"
31461,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
31461,"SHOW: Results - reward: 6, CHOICE: gamble"
32461,"CLEAR SCREEN , ROUND 3"
32468,"HOLD ... 3 secs - variable inter-trial delay, ROUND 4"
32468,"SHOW: inter-trial interval"
35474,"HOLD ... 7 secs - variable presentation duration, ROUND 4"
35474,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 4, ROUND 4"
37078,"KEYPRESS: 1, OPTION: 1, ROUND 4"
37079,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
37079,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
39081,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
39081,"SHOW: Results - reward: 3, CHOICE: sure bet"
40082,"SHOW: RATING SELECTION, initial value: 0, ROUND 4"
41921,"HOLD ... 0 secs - variable inter-trial delay, ROUND 4"
41921,"SUBMIT rating value: 0, key: 3, ROUND 4"
41936,"HOLD ... 4 secs - variable inter-trial delay, ROUND 5"
41936,"SHOW: inter-trial interval"
45939,"HOLD ... 8 secs - variable presentation duration, ROUND 5"
45939,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 1, ROUND 5"
47022,"KEYPRESS: 2, OPTION: 2, ROUND 5"
47023,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 5"
47023,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
49024,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
49024,"SHOW: Results - reward: 4, CHOICE: sure bet"
50024,"CLEAR SCREEN , ROUND 5"
50031,"HOLD ... 3 secs - variable inter-trial delay, ROUND 6"
50031,"SHOW: inter-trial interval"
53036,"HOLD ... 8 secs - variable presentation duration, ROUND 6"
53036,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 4, ROUND 6"
54706,"KEYPRESS: 2, OPTION: 2, ROUND 6"
54707,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 6"
54707,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
56709,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
56709,"SHOW: Results - reward: 3, CHOICE: sure bet"
57713,"CLEAR SCREEN , ROUND 6"
57721,"HOLD ... 5 secs - variable inter-trial delay, ROUND 7"
57721,"SHOW: inter-trial interval"
62724,"HOLD ... 7 secs - variable presentation duration, ROUND 7"
62724,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 6, ROUND 7"
64447,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 7"
64447,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
