"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
9957,"Game Start by TTL - leaving ready screen"
9957,"TR 1"
9958,"HOLD ... 4 secs ( for scanning )"
9958,"starting game"
13963,"HOLD ... 4 secs - variable presentation duration, ROUND 1"
13963,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 1, ROUND 1"
15972,"KEYPRESS: 2, OPTION: 2, ROUND 1"
15973,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
15973,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
17976,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
17976,"SHOW: Results - reward: 3, CHOICE: sure bet"
18977,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
21420,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
21420,"SUBMIT rating value: 0, key: 3, ROUND 1"
21423,"HOLD ... 3 secs - variable inter-trial delay, ROUND 2"
21423,"SHOW: inter-trial interval"
24426,"HOLD ... 6 secs - variable presentation duration, ROUND 2"
24426,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 6, ROUND 2"
26484,"KEYPRESS: 2, OPTION: 2, ROUND 2"
26485,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
26485,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
28487,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
28487,"SHOW: Results - reward: 6, CHOICE: gamble"
29489,"CLEAR SCREEN , ROUND 2"
29494,"HOLD ... 3 secs - variable inter-trial delay, ROUND 3"
29494,"SHOW: inter-trial interval"
32495,"HOLD ... 8 secs - variable presentation duration, ROUND 3"
32495,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 6, ROUND 3"
35548,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
35548,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
35548,"KEYPRESS: 2, OPTION: 2, ROUND 3"
