"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
2028,"Game Start by TTL - leaving ready screen"
2028,"TR 1"
2029,"HOLD ... 4 secs ( for scanning )"
2029,"starting game"
6036,"HOLD ... 5 secs - variable presentation duration, ROUND 1"
6036,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 1, ROUND 1"
8424,"KEYPRESS: 2, OPTION: 2, ROUND 1"
8425,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
8425,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
10427,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
10427,"SHOW: Results - reward: 6, CHOICE: gamble"
11427,"CLEAR SCREEN , ROUND 1"
11436,"HOLD ... 5 secs - variable inter-trial delay, ROUND 2"
11436,"SHOW: inter-trial interval"
16438,"HOLD ... 4 secs - variable presentation duration, ROUND 2"
16438,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 2"
19273,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
19273,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
19273,"KEYPRESS: 2, OPTION: 2, ROUND 2"
21274,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
21274,"SHOW: Results - reward: 1, CHOICE: gamble"
22275,"CLEAR SCREEN , ROUND 2"
22283,"HOLD ... 2 secs - variable inter-trial delay, ROUND 3"
22283,"SHOW: inter-trial interval"
24286,"HOLD ... 12 secs - variable presentation duration, ROUND 3"
24286,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 2, ROUND 3"
27452,"KEYPRESS: 2, OPTION: 2, ROUND 3"
27453,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
27453,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
29457,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
29457,"SHOW: Results - reward: 5, CHOICE: sure bet"
30460,"CLEAR SCREEN , ROUND 3"
30468,"HOLD ... 4 secs - variable inter-trial delay, ROUND 4"
30468,"SHOW: inter-trial interval"
34469,"HOLD ... 7 secs - variable presentation duration, ROUND 4"
34469,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 6, ROUND 4"
37536,"KEYPRESS: 2, OPTION: 2, ROUND 4"
37537,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
37537,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
39540,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
39540,"SHOW: Results - reward: 4, CHOICE: sure bet"
40541,"CLEAR SCREEN , ROUND 4"
40550,"HOLD ... 1 secs - variable inter-trial delay, ROUND 5"
40550,"SHOW: inter-trial interval"
41551,"HOLD ... 4 secs - variable presentation duration, ROUND 5"
41551,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 5"
43928,"KEYPRESS: 2, OPTION: 2, ROUND 5"
43929,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 5"
43929,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
45932,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
45932,"SHOW: Results - reward: 3, CHOICE: sure bet"
