"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
51212,"Game Start by TTL - leaving ready screen"
51212,"TR 1"
51213,"HOLD ... 4 secs ( for scanning )"
51213,"starting game"
55220,"HOLD ... 6 secs - variable presentation duration, ROUND 1"
55220,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 4, ROUND 1"
57439,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
57439,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
57439,"KEYPRESS: 1, OPTION: 1, ROUND 1"
59442,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
59442,"SHOW: Results - reward: 3, CHOICE: gamble"
60444,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
63667," SLIDER increased, value: 1, key: 2, ROUND 1"
64351," SLIDER increased, value: 2, key: 2, ROUND 1"
64751," SLIDER increased, value: 3, key: 2, ROUND 1"
66031,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
66031,"SUBMIT rating value: 3, key: 3, ROUND 1"
66033,"HOLD ... 7 secs - variable inter-trial delay, ROUND 2"
66033,"SHOW: inter-trial interval"
73035,"HOLD ... 4 secs - variable presentation duration, ROUND 2"
73035,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 0, ROUND 2"
74271,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
74271,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
74271,"KEYPRESS: 2, OPTION: 2, ROUND 2"
76275,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
76275,"SHOW: Results - reward: 5, CHOICE: gamble"
77277,"CLEAR SCREEN , ROUND 2"
77283,"HOLD ... 3 secs - variable inter-trial delay, ROUND 3"
77283,"SHOW: inter-trial interval"
80285,"HOLD ... 6 secs - variable presentation duration, ROUND 3"
80285,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 5, ROUND 3"
82579,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
82579,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
82579,"KEYPRESS: 1, OPTION: 1, ROUND 3"
84584,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
84584,"SHOW: Results - reward: 3, CHOICE: gamble"
85584,"CLEAR SCREEN , ROUND 3"
85591,"HOLD ... 3 secs - variable inter-trial delay, ROUND 4"
85591,"SHOW: inter-trial interval"
88592,"HOLD ... 3 secs - variable presentation duration, ROUND 4"
88592,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 5, ROUND 4"
90215,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
90215,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
90215,"KEYPRESS: 1, OPTION: 1, ROUND 4"
92219,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
92219,"SHOW: Results - reward: 3, CHOICE: gamble"
93221,"CLEAR SCREEN , ROUND 4"
93227,"HOLD ... 4 secs - variable inter-trial delay, ROUND 5"
93227,"SHOW: inter-trial interval"
97228,"HOLD ... 7 secs - variable presentation duration, ROUND 5"
97228,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 0, ROUND 5"
99735,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 5"
99735,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
99735,"KEYPRESS: 2, OPTION: 2, ROUND 5"
101738,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
101738,"SHOW: Results - reward: 5, CHOICE: sure bet"
102739,"SHOW: RATING SELECTION, initial value: 0, ROUND 5"
104731," SLIDER increased, value: 1, key: 2, ROUND 5"
105071," SLIDER increased, value: 2, key: 2, ROUND 5"
105367," SLIDER increased, value: 3, key: 2, ROUND 5"
105803," SLIDER increased, value: 4, key: 2, ROUND 5"
106655,"HOLD ... 0 secs - variable inter-trial delay, ROUND 5"
106655,"SUBMIT rating value: 4, key: 3, ROUND 5"
106658,"HOLD ... 1 secs - variable inter-trial delay, ROUND 6"
106658,"SHOW: inter-trial interval"
107663,"HOLD ... 6 secs - variable presentation duration, ROUND 6"
107663,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 4, ROUND 6"
109459,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 6"
109459,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
109459,"KEYPRESS: 1, OPTION: 1, ROUND 6"
111461,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
111461,"SHOW: Results - reward: 3, CHOICE: gamble"
112463,"CLEAR SCREEN , ROUND 6"
112470,"HOLD ... 3 secs - variable inter-trial delay, ROUND 7"
112470,"SHOW: inter-trial interval"
115472,"HOLD ... 7 secs - variable presentation duration, ROUND 7"
115472,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 5, ROUND 7"
116262,"KEYPRESS: 2, OPTION: 2, ROUND 7"
116263,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 7"
116263,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
118265,"HOLD ... 1 secs - fixed outcome duration, ROUND 7"
118265,"SHOW: Results - reward: 6, CHOICE: gamble"
119266,"CLEAR SCREEN , ROUND 7"
119272,"HOLD ... 6 secs - variable inter-trial delay, ROUND 8"
119272,"SHOW: inter-trial interval"
125274,"HOLD ... 8 secs - variable presentation duration, ROUND 8"
125274,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 8"
126746,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 8"
126746,"KEYPRESS: 1, OPTION: 1, ROUND 8"
126747,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
128748,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
128748,"SHOW: Results - reward: 4, CHOICE: sure bet"
129749,"CLEAR SCREEN , ROUND 8"
129755,"HOLD ... 2 secs - variable inter-trial delay, ROUND 9"
129755,"SHOW: inter-trial interval"
131757,"HOLD ... 2 secs - variable presentation duration, ROUND 9"
131757,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 9"
132958,"KEYPRESS: 2, OPTION: 2, ROUND 9"
132959,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 9"
132959,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
134959,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
134959,"SHOW: Results - reward: 4, CHOICE: sure bet"
135961,"CLEAR SCREEN , ROUND 9"
135967,"HOLD ... 4 secs - variable inter-trial delay, ROUND 10"
135967,"SHOW: inter-trial interval"
139969,"HOLD ... 5 secs - variable presentation duration, ROUND 10"
139969,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 6, ROUND 10"
140710,"KEYPRESS: 1, OPTION: 1, ROUND 10"
140711,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 10"
140711,"HOLD ... 2 secs - fixed choice duration, ROUND 10"
142713,"HOLD ... 1 secs - fixed outcome duration, ROUND 10"
142713,"SHOW: Results - reward: 6, CHOICE: gamble"
143714,"CLEAR SCREEN , ROUND 10"
143720,"HOLD ... 3 secs - variable inter-trial delay, ROUND 11"
143720,"SHOW: inter-trial interval"
146721,"HOLD ... 7 secs - variable presentation duration, ROUND 11"
146721,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 4, ROUND 11"
147546,"KEYPRESS: 1, OPTION: 1, ROUND 11"
147547,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 11"
147547,"HOLD ... 2 secs - fixed choice duration, ROUND 11"
149548,"HOLD ... 1 secs - fixed outcome duration, ROUND 11"
149548,"SHOW: Results - reward: 5, CHOICE: gamble"
150549,"SHOW: RATING SELECTION, initial value: 0, ROUND 11"
152315," SLIDER increased, value: 1, key: 2, ROUND 11"
152626," SLIDER increased, value: 2, key: 2, ROUND 11"
152894," SLIDER increased, value: 3, key: 2, ROUND 11"
153438," SLIDER increased, value: 4, key: 2, ROUND 11"
154254,"HOLD ... 0 secs - variable inter-trial delay, ROUND 11"
154254,"SUBMIT rating value: 4, key: 3, ROUND 11"
154257,"HOLD ... 4 secs - variable inter-trial delay, ROUND 12"
154257,"SHOW: inter-trial interval"
158260,"HOLD ... 5 secs - variable presentation duration, ROUND 12"
158260,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 6, ROUND 12"
159535,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 12"
159535,"HOLD ... 2 secs - fixed choice duration, ROUND 12"
159535,"KEYPRESS: 2, OPTION: 2, ROUND 12"
161536,"HOLD ... 1 secs - fixed outcome duration, ROUND 12"
161536,"SHOW: Results - reward: 3, CHOICE: gamble"
162538,"CLEAR SCREEN , ROUND 12"
162544,"HOLD ... 4 secs - variable inter-trial delay, ROUND 13"
162544,"SHOW: inter-trial interval"
166546,"HOLD ... 3 secs - variable presentation duration, ROUND 13"
166546,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 5, ROUND 13"
167314,"KEYPRESS: 2, OPTION: 2, ROUND 13"
167315,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 13"
167315,"HOLD ... 2 secs - fixed choice duration, ROUND 13"
169318,"HOLD ... 1 secs - fixed outcome duration, ROUND 13"
169318,"SHOW: Results - reward: 5, CHOICE: gamble"
170320,"CLEAR SCREEN , ROUND 13"
170325,"HOLD ... 1 secs - variable inter-trial delay, ROUND 14"
170325,"SHOW: inter-trial interval"
171327,"HOLD ... 9 secs - variable presentation duration, ROUND 14"
171327,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 5, ROUND 14"
173442,"KEYPRESS: 1, OPTION: 1, ROUND 14"
173443,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 14"
173443,"HOLD ... 2 secs - fixed choice duration, ROUND 14"
175443,"HOLD ... 1 secs - fixed outcome duration, ROUND 14"
175443,"SHOW: Results - reward: 3, CHOICE: gamble"
176444,"CLEAR SCREEN , ROUND 14"
176449,"HOLD ... 4 secs - variable inter-trial delay, ROUND 15"
176449,"SHOW: inter-trial interval"
180450,"HOLD ... 5 secs - variable presentation duration, ROUND 15"
180450,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 6, ROUND 15"
182955,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 15"
182955,"HOLD ... 2 secs - fixed choice duration, ROUND 15"
182955,"KEYPRESS: 2, OPTION: 2, ROUND 15"
184955,"HOLD ... 1 secs - fixed outcome duration, ROUND 15"
184955,"SHOW: Results - reward: 5, CHOICE: sure bet"
185956,"CLEAR SCREEN , ROUND 15"
185962,"HOLD ... 3 secs - variable inter-trial delay, ROUND 16"
185962,"SHOW: inter-trial interval"
188964,"HOLD ... 4 secs - variable presentation duration, ROUND 16"
188964,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 2, ROUND 16"
190002,"KEYPRESS: 2, OPTION: 2, ROUND 16"
190003,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 16"
190003,"HOLD ... 2 secs - fixed choice duration, ROUND 16"
192006,"HOLD ... 1 secs - fixed outcome duration, ROUND 16"
192006,"SHOW: Results - reward: 4, CHOICE: sure bet"
193008,"SHOW: RATING SELECTION, initial value: 0, ROUND 16"
194567,"HOLD ... 0 secs - variable inter-trial delay, ROUND 16"
194567,"SUBMIT rating value: 0, key: 3, ROUND 16"
194569,"HOLD ... 5 secs - variable inter-trial delay, ROUND 17"
194569,"SHOW: inter-trial interval"
199570,"HOLD ... 5 secs - variable presentation duration, ROUND 17"
199570,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 3, ROUND 17"
200811,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 17"
200811,"HOLD ... 2 secs - fixed choice duration, ROUND 17"
200811,"KEYPRESS: 1, OPTION: 1, ROUND 17"
202811,"HOLD ... 1 secs - fixed outcome duration, ROUND 17"
202811,"SHOW: Results - reward: 5, CHOICE: sure bet"
203813,"CLEAR SCREEN , ROUND 17"
