"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
6032,"Game Start by TTL - leaving ready screen"
6032,"TR 1"
6033,"HOLD ... 4 secs ( for scanning )"
6033,"starting game"
10060,"HOLD ... 4 secs - variable presentation duration, ROUND 1"
10060,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 1"
11970,"KEYPRESS: 1, OPTION: 1, ROUND 1"
11971,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
11971,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
13976,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
13976,"SHOW: Results - reward: 5, CHOICE: sure bet"
14979,"CLEAR SCREEN , ROUND 1"
14991,"HOLD ... 2 secs - variable inter-trial delay, ROUND 2"
14991,"SHOW: inter-trial interval"
16992,"HOLD ... 3 secs - variable presentation duration, ROUND 2"
16992,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 2, ROUND 2"
19994,"ANSWER TIMEOUT REACHED, TOO LATE"
19995,"HOLD ... 1 secs"
19995,"SHOW: LATE SCREEN"
20995,"CLEAR SCREEN , ROUND 2"
21004,"HOLD ... 3 secs - variable inter-trial delay, ROUND 3"
21004,"SHOW: inter-trial interval"
24004,"HOLD ... 4 secs - variable presentation duration, ROUND 3"
24004,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 2, ROUND 3"
25238,"KEYPRESS: 2, OPTION: 2, ROUND 3"
25239,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
25239,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
27240,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
27240,"SHOW: Results - reward: 5, CHOICE: sure bet"
28244,"CLEAR SCREEN , ROUND 3"
28250,"HOLD ... 2 secs - variable inter-trial delay, ROUND 4"
28250,"SHOW: inter-trial interval"
30250,"HOLD ... 2 secs - variable presentation duration, ROUND 4"
30250,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 4, ROUND 4"
31830,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
31830,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
31830,"KEYPRESS: 1, OPTION: 1, ROUND 4"
33832,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
33832,"SHOW: Results - reward: 4, CHOICE: gamble"
34832,"CLEAR SCREEN , ROUND 4"
34839,"HOLD ... 3 secs - variable inter-trial delay, ROUND 5"
34839,"SHOW: inter-trial interval"
37840,"HOLD ... 2 secs - variable presentation duration, ROUND 5"
37840,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 4, ROUND 5"
38866,"KEYPRESS: 1, OPTION: 1, ROUND 5"
38867,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
