"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
2034,"Game Start by TTL - leaving ready screen"
2034,"HOLD ... 4 secs ( for scanning )"
2034,"TR 1"
2034,"starting game"
6038,"HOLD ... 9 secs - variable presentation duration, ROUND 1"
6038,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 2, ROUND 1"
7954,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
7954,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
7954,"KEYPRESS: 2, OPTION: 2, ROUND 1"
9958,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
9958,"SHOW: Results - reward: 1, CHOICE: gamble"
10963,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
18687,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
18687,"SUBMIT rating value: 0, key: 3, ROUND 1"
18690,"HOLD ... 4 secs - variable inter-trial delay, ROUND 2"
18690,"SHOW: inter-trial interval"
22694,"HOLD ... 4 secs - variable presentation duration, ROUND 2"
22694,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 6, ROUND 2"
26700,"ANSWER TIMEOUT REACHED, TOO LATE"
26700,"HOLD ... 1 secs"
26700,"SHOW: LATE SCREEN"
26961,"KEYPRESS: 2, DISABLED"
27702,"CLEAR SCREEN , ROUND 2"
27710,"HOLD ... 4 secs - variable inter-trial delay, ROUND 3"
27710,"SHOW: inter-trial interval"
31711,"HOLD ... 3 secs - variable presentation duration, ROUND 3"
31711,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 4, ROUND 3"
34472,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
34472,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
34472,"KEYPRESS: 2, OPTION: 2, ROUND 3"
36475,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
36475,"SHOW: Results - reward: 4, CHOICE: gamble"
37476,"SHOW: RATING SELECTION, initial value: 0, ROUND 3"
43425,"HOLD ... 0 secs - variable inter-trial delay, ROUND 3"
43425,"SUBMIT rating value: 0, key: 3, ROUND 3"
43427,"HOLD ... 3 secs - variable inter-trial delay, ROUND 4"
43427,"SHOW: inter-trial interval"
46429,"HOLD ... 5 secs - variable presentation duration, ROUND 4"
46429,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 4, ROUND 4"
48062,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
48062,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
48062,"KEYPRESS: 1, OPTION: 1, ROUND 4"
50066,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
50066,"SHOW: Results - reward: 4, CHOICE: gamble"
51066,"CLEAR SCREEN , ROUND 4"
51075,"HOLD ... 4 secs - variable inter-trial delay, ROUND 5"
51075,"SHOW: inter-trial interval"
54760,"KEYPRESS: 3, DISABLED"
55076,"HOLD ... 9 secs - variable presentation duration, ROUND 5"
55076,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 2, ROUND 5"
58026,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
58026,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
58026,"KEYPRESS: 1, OPTION: 1, ROUND 5"
60026,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
60026,"SHOW: Results - reward: 3, CHOICE: gamble"
61027,"CLEAR SCREEN , ROUND 5"
61036,"HOLD ... 4 secs - variable inter-trial delay, ROUND 6"
61036,"SHOW: inter-trial interval"
62595,"KEYPRESS: 3, DISABLED"
65037,"HOLD ... 8 secs - variable presentation duration, ROUND 6"
65037,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 3, ROUND 6"
68230,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 6"
68230,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
68230,"KEYPRESS: 1, OPTION: 1, ROUND 6"
70234,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
70234,"SHOW: Results - reward: 4, CHOICE: sure bet"
71235,"CLEAR SCREEN , ROUND 6"
71240,"HOLD ... 2 secs - variable inter-trial delay, ROUND 7"
71240,"SHOW: inter-trial interval"
72901,"KEYPRESS: 3, DISABLED"
73242,"HOLD ... 7 secs - variable presentation duration, ROUND 7"
73242,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 2, ROUND 7"
75429,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 7"
75429,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
75429,"KEYPRESS: 2, OPTION: 2, ROUND 7"
77433,"HOLD ... 1 secs - fixed outcome duration, ROUND 7"
77433,"SHOW: Results - reward: 2, CHOICE: gamble"
78433,"CLEAR SCREEN , ROUND 7"
78442,"HOLD ... 1 secs - variable inter-trial delay, ROUND 8"
78442,"SHOW: inter-trial interval"
79195,"KEYPRESS: 3, DISABLED"
79443,"HOLD ... 6 secs - variable presentation duration, ROUND 8"
79443,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 4, ROUND 8"
81927,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 8"
81927,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
81927,"KEYPRESS: 2, OPTION: 2, ROUND 8"
83931,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
83931,"SHOW: Results - reward: 4, CHOICE: gamble"
84645,"KEYPRESS: 3, DISABLED"
84932,"CLEAR SCREEN , ROUND 8"
84940,"HOLD ... 4 secs - variable inter-trial delay, ROUND 9"
84940,"SHOW: inter-trial interval"
88942,"HOLD ... 6 secs - variable presentation duration, ROUND 9"
88942,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 6, ROUND 9"
90037,"KEYPRESS: 1, OPTION: 1, ROUND 9"
90038,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 9"
90038,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
91124,"KEYPRESS: 3, DISABLED"
92041,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
92041,"SHOW: Results - reward: 5, CHOICE: sure bet"
93042,"CLEAR SCREEN , ROUND 9"
93051,"HOLD ... 3 secs - variable inter-trial delay, ROUND 10"
93051,"SHOW: inter-trial interval"
96054,"HOLD ... 3 secs - variable presentation duration, ROUND 10"
