"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
20730,"Game Start by TTL - leaving ready screen"
20730,"HOLD ... 4 secs ( for scanning )"
20730,"TR 1"
20730,"starting game"
24735,"HOLD ... 7 secs - variable presentation duration, ROUND 1"
24735,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 5, ROUND 1"
25807,"KEYPRESS: 1, OPTION: 1, ROUND 1"
25808,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
25808,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
26307,"KEYPRESS: 1, DISABLED"
26340,"KEYPRESS: 1, DISABLED"
26373,"KEYPRESS: 1, DISABLED"
27810,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
27810,"SHOW: Results - reward: 2, CHOICE: gamble"
28812,"CLEAR SCREEN , ROUND 1"
28818,"HOLD ... 4 secs - variable inter-trial delay, ROUND 2"
28818,"SHOW: inter-trial interval"
31355,"KEYPRESS: 3, DISABLED"
32819,"HOLD ... 7 secs - variable presentation duration, ROUND 2"
32819,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 2, ROUND 2"
34343,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
34343,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
34343,"KEYPRESS: 2, OPTION: 2, ROUND 2"
36344,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
36344,"SHOW: Results - reward: 4, CHOICE: gamble"
37345,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
38275,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
38275,"SUBMIT rating value: 0, key: 3, ROUND 2"
38277,"HOLD ... 4 secs - variable inter-trial delay, ROUND 3"
38277,"SHOW: inter-trial interval"
41775,"KEYPRESS: 3, DISABLED"
42282,"HOLD ... 6 secs - variable presentation duration, ROUND 3"
42282,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 2, ROUND 3"
43555,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
43555,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
43555,"KEYPRESS: 1, OPTION: 1, ROUND 3"
45555,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
45555,"SHOW: Results - reward: 2, CHOICE: gamble"
46556,"CLEAR SCREEN , ROUND 3"
46562,"HOLD ... 2 secs - variable inter-trial delay, ROUND 4"
46562,"SHOW: inter-trial interval"
48564,"HOLD ... 7 secs - variable presentation duration, ROUND 4"
48564,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 4"
50099,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
50099,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
50099,"KEYPRESS: 2, OPTION: 2, ROUND 4"
52100,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
52100,"SHOW: Results - reward: 0, CHOICE: gamble"
53101,"CLEAR SCREEN , ROUND 4"
53107,"HOLD ... 1 secs - variable inter-trial delay, ROUND 5"
53107,"SHOW: inter-trial interval"
54108,"HOLD ... 5 secs - variable presentation duration, ROUND 5"
54108,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 5"
55231,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
55231,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
55231,"KEYPRESS: 1, OPTION: 1, ROUND 5"
57232,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
57232,"SHOW: Results - reward: 3, CHOICE: gamble"
58233,"CLEAR SCREEN , ROUND 5"
58238,"HOLD ... 5 secs - variable inter-trial delay, ROUND 6"
58238,"SHOW: inter-trial interval"
63242,"HOLD ... 10 secs - variable presentation duration, ROUND 6"
63242,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 0, ROUND 6"
64282,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 6"
64282,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
64282,"KEYPRESS: 1, OPTION: 1, ROUND 6"
66282,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
66282,"SHOW: Results - reward: 6, CHOICE: sure bet"
67283,"CLEAR SCREEN , ROUND 6"
67289,"HOLD ... 2 secs - variable inter-trial delay, ROUND 7"
67289,"SHOW: inter-trial interval"
