"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
3709,"Game Start by TTL - leaving ready screen"
3709,"TR 1"
3710,"HOLD ... 4 secs ( for scanning )"
3710,"starting game"
7715,"HOLD ... 6 secs - variable presentation duration, ROUND 1"
7715,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 4, ROUND 1"
8745,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
8745,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
8745,"KEYPRESS: 1, OPTION: 1, ROUND 1"
9865,"KEYPRESS: 1, DISABLED"
10748,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
10748,"SHOW: Results - reward: 4, CHOICE: gamble"
11749,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
13109," SLIDER increased, value: 1, key: 2, ROUND 1"
21333,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
21333,"SUBMIT rating value: 1, key: 3, ROUND 1"
21336,"HOLD ... 3 secs - variable inter-trial delay, ROUND 2"
21336,"SHOW: inter-trial interval"
24338,"HOLD ... 4 secs - variable presentation duration, ROUND 2"
24338,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 3, ROUND 2"
26225,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
26225,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
26225,"KEYPRESS: 2, OPTION: 2, ROUND 2"
28226,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
28226,"SHOW: Results - reward: 6, CHOICE: sure bet"
29227,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
31489," SLIDER increased, value: 1, key: 2, ROUND 2"
31793," SLIDER increased, value: 2, key: 2, ROUND 2"
36528,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
36528,"SUBMIT rating value: 2, key: 3, ROUND 2"
36530,"HOLD ... 4 secs - variable inter-trial delay, ROUND 3"
36530,"SHOW: inter-trial interval"
40530,"HOLD ... 7 secs - variable presentation duration, ROUND 3"
40530,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 5, ROUND 3"
42211,"KEYPRESS: 1, OPTION: 1, ROUND 3"
42212,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
42212,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
43135,"KEYPRESS: 1, DISABLED"
44214,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
44214,"SHOW: Results - reward: 5, CHOICE: gamble"
45215,"CLEAR SCREEN , ROUND 3"
45221,"HOLD ... 2 secs - variable inter-trial delay, ROUND 4"
45221,"SHOW: inter-trial interval"
47221,"HOLD ... 4 secs - variable presentation duration, ROUND 4"
47221,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 1, ROUND 4"
49003,"KEYPRESS: 2, OPTION: 2, ROUND 4"
49004,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
49004,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
51005,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
51005,"SHOW: Results - reward: 4, CHOICE: sure bet"
52005,"SHOW: RATING SELECTION, initial value: 0, ROUND 4"
53007," SLIDER increased, value: 1, key: 2, ROUND 4"
53315," SLIDER increased, value: 2, key: 2, ROUND 4"
56027,"HOLD ... 0 secs - variable inter-trial delay, ROUND 4"
56027,"SUBMIT rating value: 2, key: 3, ROUND 4"
56029,"HOLD ... 3 secs - variable inter-trial delay, ROUND 5"
56029,"SHOW: inter-trial interval"
58679,"KEYPRESS: 3, DISABLED"
59031,"HOLD ... 2 secs - variable presentation duration, ROUND 5"
59031,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 2, ROUND 5"
60684,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
60684,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
60684,"KEYPRESS: 1, OPTION: 1, ROUND 5"
62144,"KEYPRESS: 1, DISABLED"
62686,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
62686,"SHOW: Results - reward: 6, CHOICE: gamble"
63686,"SHOW: RATING SELECTION, initial value: 0, ROUND 5"
64716," SLIDER increased, value: 1, key: 2, ROUND 5"
65084," SLIDER increased, value: 2, key: 2, ROUND 5"
65387," SLIDER increased, value: 3, key: 2, ROUND 5"
67480,"HOLD ... 0 secs - variable inter-trial delay, ROUND 5"
67480,"SUBMIT rating value: 3, key: 3, ROUND 5"
67482,"HOLD ... 4 secs - variable inter-trial delay, ROUND 6"
67482,"SHOW: inter-trial interval"
71484,"HOLD ... 3 secs - variable presentation duration, ROUND 6"
71484,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 6, ROUND 6"
72724,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 6"
72724,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
72724,"KEYPRESS: 1, OPTION: 1, ROUND 6"
74725,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
74725,"SHOW: Results - reward: 5, CHOICE: sure bet"
75725,"CLEAR SCREEN , ROUND 6"
75732,"HOLD ... 3 secs - variable inter-trial delay, ROUND 7"
75732,"SHOW: inter-trial interval"
77624,"KEYPRESS: 2, DISABLED"
78733,"HOLD ... 4 secs - variable presentation duration, ROUND 7"
78733,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 2, ROUND 7"
80956,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 7"
80956,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
80956,"KEYPRESS: 1, OPTION: 1, ROUND 7"
82957,"HOLD ... 1 secs - fixed outcome duration, ROUND 7"
82957,"SHOW: Results - reward: 6, CHOICE: sure bet"
83959,"SHOW: RATING SELECTION, initial value: 0, ROUND 7"
84711," SLIDER increased, value: 1, key: 2, ROUND 7"
85144," SLIDER increased, value: 2, key: 2, ROUND 7"
85716," SLIDER increased, value: 3, key: 2, ROUND 7"
85832," SLIDER increased, value: 4, key: 2, ROUND 7"
90144,"HOLD ... 0 secs - variable inter-trial delay, ROUND 7"
90144,"SUBMIT rating value: 4, key: 3, ROUND 7"
90146,"HOLD ... 4 secs - variable inter-trial delay, ROUND 8"
90146,"SHOW: inter-trial interval"
94147,"HOLD ... 4 secs - variable presentation duration, ROUND 8"
94147,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 2, ROUND 8"
95708,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 8"
95708,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
95708,"KEYPRESS: 2, OPTION: 2, ROUND 8"
97709,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
97709,"SHOW: Results - reward: 3, CHOICE: sure bet"
98710,"CLEAR SCREEN , ROUND 8"
98715,"HOLD ... 4 secs - variable inter-trial delay, ROUND 9"
98715,"SHOW: inter-trial interval"
101219,"KEYPRESS: 3, DISABLED"
102550,"KEYPRESS: 2, DISABLED"
102716,"HOLD ... 7 secs - variable presentation duration, ROUND 9"
102716,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 3, ROUND 9"
104219,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 9"
104219,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
104219,"KEYPRESS: 1, OPTION: 1, ROUND 9"
105295,"KEYPRESS: 1, DISABLED"
106220,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
106220,"SHOW: Results - reward: 3, CHOICE: gamble"
107220,"CLEAR SCREEN , ROUND 9"
107225,"HOLD ... 2 secs - variable inter-trial delay, ROUND 10"
107225,"SHOW: inter-trial interval"
109226,"HOLD ... 13 secs - variable presentation duration, ROUND 10"
109226,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 5, ROUND 10"
110551,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 10"
110551,"HOLD ... 2 secs - fixed choice duration, ROUND 10"
110551,"KEYPRESS: 1, OPTION: 1, ROUND 10"
111799,"KEYPRESS: 1, DISABLED"
112552,"HOLD ... 1 secs - fixed outcome duration, ROUND 10"
112552,"SHOW: Results - reward: 6, CHOICE: gamble"
113554,"SHOW: RATING SELECTION, initial value: 0, ROUND 10"
114447," SLIDER increased, value: 1, key: 2, ROUND 10"
114675," SLIDER increased, value: 2, key: 2, ROUND 10"
114923," SLIDER increased, value: 3, key: 2, ROUND 10"
115495," SLIDER increased, value: 4, key: 2, ROUND 10"
119787,"HOLD ... 0 secs - variable inter-trial delay, ROUND 10"
119787,"SUBMIT rating value: 4, key: 3, ROUND 10"
119789,"HOLD ... 5 secs - variable inter-trial delay, ROUND 11"
