"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
26305,"Game Start by TTL - leaving ready screen"
26305,"TR 1"
26306,"HOLD ... 4 secs ( for scanning )"
26306,"starting game"
30315,"HOLD ... 9 secs - variable presentation duration, ROUND 1"
30315,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 3, ROUND 1"
32803,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
32803,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
32803,"KEYPRESS: 1, OPTION: 1, ROUND 1"
34805,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
34805,"SHOW: Results - reward: 3, CHOICE: gamble"
35807,"CLEAR SCREEN , ROUND 1"
35813,"HOLD ... 2 secs - variable inter-trial delay, ROUND 2"
35813,"SHOW: inter-trial interval"
37816,"HOLD ... 6 secs - variable presentation duration, ROUND 2"
37816,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 6, ROUND 2"
39179,"KEYPRESS: 2, OPTION: 2, ROUND 2"
39180,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
39180,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
41182,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
41182,"SHOW: Results - reward: 6, CHOICE: gamble"
42184,"CLEAR SCREEN , ROUND 2"
42189,"HOLD ... 1 secs - variable inter-trial delay, ROUND 3"
42189,"SHOW: inter-trial interval"
43190,"HOLD ... 8 secs - variable presentation duration, ROUND 3"
43190,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 3 GAMBLE RIGHT BET: 1, ROUND 3"
44295,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
44295,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
