"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
28709,"Game Start by TTL - leaving ready screen"
28709,"TR 1"
28710,"HOLD ... 4 secs ( for scanning )"
28710,"starting game"
32718,"HOLD ... 8 secs - variable presentation duration, ROUND 1"
32718,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 1"
36203,"KEYPRESS: 2, OPTION: 2, ROUND 1"
36204,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
36204,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
38206,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
38206,"SHOW: Results - reward: 6, CHOICE: sure bet"
39207,"CLEAR SCREEN , ROUND 1"
39213,"HOLD ... 5 secs - variable inter-trial delay, ROUND 2"
39213,"SHOW: inter-trial interval"
44214,"HOLD ... 7 secs - variable presentation duration, ROUND 2"
44214,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 2, ROUND 2"
47162,"KEYPRESS: 2, OPTION: 2, ROUND 2"
47163,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
47163,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
49165,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
49165,"SHOW: Results - reward: 5, CHOICE: sure bet"
50166,"CLEAR SCREEN , ROUND 2"
50172,"HOLD ... 7 secs - variable inter-trial delay, ROUND 3"
50172,"SHOW: inter-trial interval"
57172,"HOLD ... 1 secs - variable presentation duration, ROUND 3"
57172,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 4, ROUND 3"
58175,"ANSWER TIMEOUT REACHED, TOO LATE"
58175,"HOLD ... 1 secs"
58175,"SHOW: LATE SCREEN"
59175,"CLEAR SCREEN , ROUND 3"
59181,"HOLD ... 6 secs - variable inter-trial delay, ROUND 4"
59181,"SHOW: inter-trial interval"
65181,"HOLD ... 5 secs - variable presentation duration, ROUND 4"
65181,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 6, ROUND 4"
67437,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
67437,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
67437,"KEYPRESS: 1, OPTION: 1, ROUND 4"
69440,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
69440,"SHOW: Results - reward: 2, CHOICE: gamble"
70441,"SHOW: RATING SELECTION, initial value: 0, ROUND 4"
75237," SLIDER increased, value: 1, key: 2, ROUND 4"
75637," SLIDER increased, value: 2, key: 2, ROUND 4"
75989," SLIDER increased, value: 3, key: 2, ROUND 4"
76421," SLIDER increased, value: 4, key: 2, ROUND 4"
77996,"HOLD ... 0 secs - variable inter-trial delay, ROUND 4"
77996,"SUBMIT rating value: 4, key: 3, ROUND 4"
77999,"HOLD ... 3 secs - variable inter-trial delay, ROUND 5"
77999,"SHOW: inter-trial interval"
80999,"HOLD ... 5 secs - variable presentation duration, ROUND 5"
80999,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 1, ROUND 5"
83516,"KEYPRESS: 2, OPTION: 2, ROUND 5"
83517,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 5"
83517,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
85519,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
85519,"SHOW: Results - reward: 1, CHOICE: sure bet"
86520,"SHOW: RATING SELECTION, initial value: 0, ROUND 5"
87980," SLIDER increased, value: 1, key: 2, ROUND 5"
88660," SLIDER increased, value: 2, key: 2, ROUND 5"
89060," SLIDER increased, value: 3, key: 2, ROUND 5"
89356," SLIDER increased, value: 4, key: 2, ROUND 5"
90908,"HOLD ... 0 secs - variable inter-trial delay, ROUND 5"
90908,"SUBMIT rating value: 4, key: 3, ROUND 5"
90910,"HOLD ... 2 secs - variable inter-trial delay, ROUND 6"
90910,"SHOW: inter-trial interval"
92913,"HOLD ... 6 secs - variable presentation duration, ROUND 6"
92913,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 6, ROUND 6"
95580,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 6"
95580,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
95580,"KEYPRESS: 2, OPTION: 2, ROUND 6"
97582,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
97582,"SHOW: Results - reward: 6, CHOICE: gamble"
98583,"CLEAR SCREEN , ROUND 6"
98589,"HOLD ... 2 secs - variable inter-trial delay, ROUND 7"
98589,"SHOW: inter-trial interval"
100590,"HOLD ... 9 secs - variable presentation duration, ROUND 7"
100590,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 7"
103435,"KEYPRESS: 2, OPTION: 2, ROUND 7"
103436,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 7"
103436,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
105436,"HOLD ... 1 secs - fixed outcome duration, ROUND 7"
105436,"SHOW: Results - reward: 4, CHOICE: gamble"
106437,"SHOW: RATING SELECTION, initial value: 0, ROUND 7"
108379," SLIDER increased, value: 1, key: 2, ROUND 7"
108875," SLIDER increased, value: 2, key: 2, ROUND 7"
109219," SLIDER increased, value: 3, key: 2, ROUND 7"
109563," SLIDER increased, value: 4, key: 2, ROUND 7"
110427,"HOLD ... 0 secs - variable inter-trial delay, ROUND 7"
110427,"SUBMIT rating value: 4, key: 3, ROUND 7"
110429,"HOLD ... 1 secs - variable inter-trial delay, ROUND 8"
110429,"SHOW: inter-trial interval"
111431,"HOLD ... 5 secs - variable presentation duration, ROUND 8"
111431,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 5, ROUND 8"
113163,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 8"
113163,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
113163,"KEYPRESS: 2, OPTION: 2, ROUND 8"
115165,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
115165,"SHOW: Results - reward: 6, CHOICE: sure bet"
116166,"SHOW: RATING SELECTION, initial value: 0, ROUND 8"
117499," SLIDER increased, value: 1, key: 2, ROUND 8"
117875," SLIDER increased, value: 2, key: 2, ROUND 8"
118291," SLIDER increased, value: 3, key: 2, ROUND 8"
118644," SLIDER increased, value: 4, key: 2, ROUND 8"
119540,"HOLD ... 0 secs - variable inter-trial delay, ROUND 8"
119540,"SUBMIT rating value: 4, key: 3, ROUND 8"
119542,"HOLD ... 2 secs - variable inter-trial delay, ROUND 9"
119542,"SHOW: inter-trial interval"
121543,"HOLD ... 7 secs - variable presentation duration, ROUND 9"
121543,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 6, ROUND 9"
123795,"KEYPRESS: 1, OPTION: 1, ROUND 9"
123796,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 9"
123796,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
125798,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
125798,"SHOW: Results - reward: 6, CHOICE: gamble"
126799,"SHOW: RATING SELECTION, initial value: 0, ROUND 9"
127899," SLIDER increased, value: 1, key: 2, ROUND 9"
128371," SLIDER increased, value: 2, key: 2, ROUND 9"
128803," SLIDER increased, value: 3, key: 2, ROUND 9"
129171," SLIDER increased, value: 4, key: 2, ROUND 9"
130619,"HOLD ... 0 secs - variable inter-trial delay, ROUND 9"
130619,"SUBMIT rating value: 4, key: 3, ROUND 9"
130621,"HOLD ... 3 secs - variable inter-trial delay, ROUND 10"
130621,"SHOW: inter-trial interval"
133623,"HOLD ... 5 secs - variable presentation duration, ROUND 10"
133623,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 3, ROUND 10"
135363,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 10"
135363,"HOLD ... 2 secs - fixed choice duration, ROUND 10"
135363,"KEYPRESS: 1, OPTION: 1, ROUND 10"
137366,"HOLD ... 1 secs - fixed outcome duration, ROUND 10"
137366,"SHOW: Results - reward: 6, CHOICE: sure bet"
138367,"SHOW: RATING SELECTION, initial value: 0, ROUND 10"
139595," SLIDER increased, value: 1, key: 2, ROUND 10"
140003," SLIDER increased, value: 2, key: 2, ROUND 10"
140315," SLIDER increased, value: 3, key: 2, ROUND 10"
140787," SLIDER increased, value: 4, key: 2, ROUND 10"
141939,"HOLD ... 0 secs - variable inter-trial delay, ROUND 10"
141939,"SUBMIT rating value: 4, key: 3, ROUND 10"
141941,"HOLD ... 5 secs - variable inter-trial delay, ROUND 11"
141941,"SHOW: inter-trial interval"
