"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
3386,"Game Start by TTL - leaving ready screen"
3386,"HOLD ... 4 secs ( for scanning )"
3386,"TR 1"
3386,"starting game"
3389,"KEYPRESS: 6 (IGNORED) "
7391,"HOLD ... 6 secs - variable presentation duration, ROUND 1"
7391,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 1, ROUND 1"
9085,"KEYPRESS: 1, OPTION: 1, ROUND 1"
9086,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
9086,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
11088,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
11088,"SHOW: Results - reward: 6, CHOICE: sure bet"
12089,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
13477," SLIDER increased, value: 1, key: 2, ROUND 1"
13757," SLIDER increased, value: 2, key: 2, ROUND 1"
13969," SLIDER increased, value: 3, key: 2, ROUND 1"
15133,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
15133,"SUBMIT rating value: 3, key: 3, ROUND 1"
15135,"HOLD ... 5 secs - variable inter-trial delay, ROUND 2"
15135,"SHOW: inter-trial interval"
20136,"HOLD ... 5 secs - variable presentation duration, ROUND 2"
20136,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 2, ROUND 2"
22533,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
22533,"KEYPRESS: 1, OPTION: 1, ROUND 2"
22534,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
24535,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
24535,"SHOW: Results - reward: 3, CHOICE: sure bet"
25537,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
26521," SLIDER increased, value: 1, key: 2, ROUND 2"
27097,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
27097,"SUBMIT rating value: 1, key: 3, ROUND 2"
27099,"HOLD ... 2 secs - variable inter-trial delay, ROUND 3"
27099,"SHOW: inter-trial interval"
29101,"HOLD ... 2 secs - variable presentation duration, ROUND 3"
29101,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 0, ROUND 3"
31102,"ANSWER TIMEOUT REACHED, TOO LATE"
31102,"HOLD ... 1 secs"
31102,"SHOW: LATE SCREEN"
32103,"CLEAR SCREEN , ROUND 3"
32109,"HOLD ... 3 secs - variable inter-trial delay, ROUND 4"
32109,"SHOW: inter-trial interval"
35110,"HOLD ... 11 secs - variable presentation duration, ROUND 4"
35110,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 1, ROUND 4"
36413,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
36413,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
36413,"KEYPRESS: 2, OPTION: 2, ROUND 4"
38414,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
38414,"SHOW: Results - reward: 3, CHOICE: sure bet"
39415,"CLEAR SCREEN , ROUND 4"
39421,"HOLD ... 4 secs - variable inter-trial delay, ROUND 5"
39421,"SHOW: inter-trial interval"
43422,"HOLD ... 4 secs - variable presentation duration, ROUND 5"
43422,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 1, ROUND 5"
44469,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
44469,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
44469,"KEYPRESS: 1, OPTION: 1, ROUND 5"
46470,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
46470,"SHOW: Results - reward: 1, CHOICE: gamble"
47471,"SHOW: RATING SELECTION, initial value: 0, ROUND 5"
48725," SLIDER decreased, value: -1, key: 1, ROUND 5"
49165," SLIDER decreased, value: -2, key: 1, ROUND 5"
49385,"HOLD ... 0 secs - variable inter-trial delay, ROUND 5"
49385,"SUBMIT rating value: -2, key: 3, ROUND 5"
49387,"HOLD ... 1 secs - variable inter-trial delay, ROUND 6"
49387,"SHOW: inter-trial interval"
50388,"HOLD ... 1 secs - variable presentation duration, ROUND 6"
50388,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 0, ROUND 6"
51392,"ANSWER TIMEOUT REACHED, TOO LATE"
51392,"HOLD ... 1 secs"
51392,"SHOW: LATE SCREEN"
51673,"KEYPRESS: 1, DISABLED"
52393,"CLEAR SCREEN , ROUND 6"
52398,"HOLD ... 3 secs - variable inter-trial delay, ROUND 7"
52398,"SHOW: inter-trial interval"
55399,"HOLD ... 12 secs - variable presentation duration, ROUND 7"
55399,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 6, ROUND 7"
