"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
47542,"Game Start by TTL - leaving ready screen"
47542,"HOLD ... 4 secs ( for scanning )"
47542,"TR 1"
47542,"starting game"
51549,"HOLD ... 4 secs - variable presentation duration, ROUND 1"
51549,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 0, ROUND 1"
53636,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
53636,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
53636,"KEYPRESS: 2, OPTION: 2, ROUND 1"
55640,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
55640,"SHOW: Results - reward: 2, CHOICE: gamble"
56640,"CLEAR SCREEN , ROUND 1"
56649,"HOLD ... 1 secs - variable inter-trial delay, ROUND 2"
56649,"SHOW: inter-trial interval"
57650,"HOLD ... 2 secs - variable presentation duration, ROUND 2"
57650,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 0, ROUND 2"
59384,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
59384,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
59384,"KEYPRESS: 1, OPTION: 1, ROUND 2"
61386,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
61386,"SHOW: Results - reward: 5, CHOICE: gamble"
62386,"CLEAR SCREEN , ROUND 2"
62395,"HOLD ... 2 secs - variable inter-trial delay, ROUND 3"
62395,"SHOW: inter-trial interval"
64398,"HOLD ... 12 secs - variable presentation duration, ROUND 3"
64398,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 5, ROUND 3"
66176,"KEYPRESS: 1, OPTION: 1, ROUND 3"
66177,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
66177,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
68180,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
68180,"SHOW: Results - reward: 5, CHOICE: gamble"
69181,"CLEAR SCREEN , ROUND 3"
69190,"HOLD ... 2 secs - variable inter-trial delay, ROUND 4"
69190,"SHOW: inter-trial interval"
71192,"HOLD ... 7 secs - variable presentation duration, ROUND 4"
71192,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 2, ROUND 4"
73016,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
73016,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
73016,"KEYPRESS: 1, OPTION: 1, ROUND 4"
75020,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
75020,"SHOW: Results - reward: 4, CHOICE: gamble"
76021,"CLEAR SCREEN , ROUND 4"
76030,"HOLD ... 2 secs - variable inter-trial delay, ROUND 5"
76030,"SHOW: inter-trial interval"
78032,"HOLD ... 7 secs - variable presentation duration, ROUND 5"
78032,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 3, ROUND 5"
79513,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 5"
79513,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
79513,"KEYPRESS: 2, OPTION: 2, ROUND 5"
