"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
28143,"Game Start by TTL - leaving ready screen"
28143,"HOLD ... 4 secs ( for scanning )"
28143,"TR 1"
28143,"starting game"
32148,"HOLD ... 7 secs - variable presentation duration, ROUND 1"
32148,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 3, ROUND 1"
33073,"KEYPRESS: 1, OPTION: 1, ROUND 1"
33074,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
33074,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
34053,"KEYPRESS: 3, DISABLED"
35076,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
35076,"SHOW: Results - reward: 6, CHOICE: sure bet"
36077,"CLEAR SCREEN , ROUND 1"
36084,"HOLD ... 4 secs - variable inter-trial delay, ROUND 2"
36084,"SHOW: inter-trial interval"
40084,"HOLD ... 5 secs - variable presentation duration, ROUND 2"
40084,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 2"
41266,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
41266,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
41266,"KEYPRESS: 1, OPTION: 1, ROUND 2"
41989,"KEYPRESS: 2, DISABLED"
43269,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
43269,"SHOW: Results - reward: 0, CHOICE: gamble"
43293,"KEYPRESS: 3, DISABLED"
44270,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
46261," SLIDER decreased, value: -1, key: 1, ROUND 2"
47837,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
47837,"SUBMIT rating value: -1, key: 3, ROUND 2"
47839,"HOLD ... 2 secs - variable inter-trial delay, ROUND 3"
47839,"SHOW: inter-trial interval"
49844,"HOLD ... 10 secs - variable presentation duration, ROUND 3"
49844,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 6, ROUND 3"
51045,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
51045,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
51045,"KEYPRESS: 1, OPTION: 1, ROUND 3"
52525,"KEYPRESS: 3, DISABLED"
53047,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
53047,"SHOW: Results - reward: 5, CHOICE: gamble"
54048,"CLEAR SCREEN , ROUND 3"
54053,"HOLD ... 5 secs - variable inter-trial delay, ROUND 4"
54053,"SHOW: inter-trial interval"
59053,"HOLD ... 3 secs - variable presentation duration, ROUND 4"
59053,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 1, ROUND 4"
60482,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
60482,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
60482,"KEYPRESS: 1, OPTION: 1, ROUND 4"
61785,"KEYPRESS: 3, DISABLED"
62485,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
62485,"SHOW: Results - reward: 2, CHOICE: sure bet"
63486,"SHOW: RATING SELECTION, initial value: 0, ROUND 4"
65117,"HOLD ... 0 secs - variable inter-trial delay, ROUND 4"
65117,"SUBMIT rating value: 0, key: 3, ROUND 4"
65120,"HOLD ... 7 secs - variable inter-trial delay, ROUND 5"
65120,"SHOW: inter-trial interval"
72121,"HOLD ... 3 secs - variable presentation duration, ROUND 5"
72121,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 5"
73298,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
73298,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
73298,"KEYPRESS: 1, OPTION: 1, ROUND 5"
73838,"KEYPRESS: 3, DISABLED"
75301,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
75301,"SHOW: Results - reward: 6, CHOICE: sure bet"
76302,"CLEAR SCREEN , ROUND 5"
76308,"HOLD ... 3 secs - variable inter-trial delay, ROUND 6"
76308,"SHOW: inter-trial interval"
