"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
6499,"Game Start by TTL - leaving ready screen"
6499,"TR 1"
6500,"HOLD ... 4 secs ( for scanning )"
6500,"starting game"
10507,"HOLD ... 6 secs - variable presentation duration, ROUND 1"
10507,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 4, ROUND 1"
14408,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
14408,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
14408,"KEYPRESS: 2, OPTION: 2, ROUND 1"
16417,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
16417,"SHOW: Results - reward: 4, CHOICE: gamble"
17417,"SHOW: RATING SELECTION, initial value: 0, ROUND 1"
19776," SLIDER increased, value: 1, key: 2, ROUND 1"
20091," SLIDER increased, value: 2, key: 2, ROUND 1"
20347," SLIDER increased, value: 3, key: 2, ROUND 1"
20671," SLIDER increased, value: 4, key: 2, ROUND 1"
23616,"HOLD ... 0 secs - variable inter-trial delay, ROUND 1"
23616,"SUBMIT rating value: 4, key: 3, ROUND 1"
23618,"HOLD ... 4 secs - variable inter-trial delay, ROUND 2"
23618,"SHOW: inter-trial interval"
27620,"HOLD ... 7 secs - variable presentation duration, ROUND 2"
27620,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 0, ROUND 2"
32575,"KEYPRESS: 1, OPTION: 1, ROUND 2"
32576,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
32576,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
34578,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
34578,"SHOW: Results - reward: 0, CHOICE: gamble"
35579,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
37399," SLIDER decreased, value: -1, key: 1, ROUND 2"
37695," SLIDER decreased, value: -2, key: 1, ROUND 2"
37967," SLIDER decreased, value: -3, key: 1, ROUND 2"
38235," SLIDER decreased, value: -4, key: 1, ROUND 2"
39375,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
39375,"SUBMIT rating value: -4, key: 3, ROUND 2"
39378,"HOLD ... 3 secs - variable inter-trial delay, ROUND 3"
39378,"SHOW: inter-trial interval"
42381,"HOLD ... 6 secs - variable presentation duration, ROUND 3"
42381,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 6, ROUND 3"
45011,"KEYPRESS: 1, OPTION: 1, ROUND 3"
45012,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
45012,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
47014,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
47014,"SHOW: Results - reward: 5, CHOICE: gamble"
48014,"SHOW: RATING SELECTION, initial value: 0, ROUND 3"
49183," SLIDER increased, value: 1, key: 2, ROUND 3"
49492," SLIDER increased, value: 2, key: 2, ROUND 3"
49763," SLIDER increased, value: 3, key: 2, ROUND 3"
50688," SLIDER increased, value: 4, key: 2, ROUND 3"
51939,"HOLD ... 0 secs - variable inter-trial delay, ROUND 3"
51939,"SUBMIT rating value: 4, key: 3, ROUND 3"
51941,"HOLD ... 2 secs - variable inter-trial delay, ROUND 4"
51941,"SHOW: inter-trial interval"
53946,"HOLD ... 6 secs - variable presentation duration, ROUND 4"
53946,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 0, ROUND 4"
56863,"KEYPRESS: 1, OPTION: 1, ROUND 4"
56864,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
56864,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
58864,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
58864,"SHOW: Results - reward: 2, CHOICE: sure bet"
59866,"CLEAR SCREEN , ROUND 4"
59874,"HOLD ... 7 secs - variable inter-trial delay, ROUND 5"
59874,"SHOW: inter-trial interval"
66876,"HOLD ... 5 secs - variable presentation duration, ROUND 5"
66876,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 4, ROUND 5"
69811,"KEYPRESS: 1, OPTION: 1, ROUND 5"
69812,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 5"
69812,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
71814,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
71814,"SHOW: Results - reward: 4, CHOICE: gamble"
72815,"SHOW: RATING SELECTION, initial value: 0, ROUND 5"
73711," SLIDER increased, value: 1, key: 2, ROUND 5"
74048," SLIDER increased, value: 2, key: 2, ROUND 5"
74319," SLIDER increased, value: 3, key: 2, ROUND 5"
74595," SLIDER increased, value: 4, key: 2, ROUND 5"
75995,"HOLD ... 0 secs - variable inter-trial delay, ROUND 5"
75995,"SUBMIT rating value: 4, key: 3, ROUND 5"
75997,"HOLD ... 5 secs - variable inter-trial delay, ROUND 6"
75997,"SHOW: inter-trial interval"
80999,"HOLD ... 8 secs - variable presentation duration, ROUND 6"
80999,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 6, ROUND 6"
82995,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 6"
82995,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
82995,"KEYPRESS: 2, OPTION: 2, ROUND 6"
84997,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
84997,"SHOW: Results - reward: 6, CHOICE: gamble"
85998,"CLEAR SCREEN , ROUND 6"
86007,"HOLD ... 3 secs - variable inter-trial delay, ROUND 7"
86007,"SHOW: inter-trial interval"
89010,"HOLD ... 5 secs - variable presentation duration, ROUND 7"
89010,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 2, ROUND 7"
91335,"KEYPRESS: 1, OPTION: 1, ROUND 7"
91336,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 7"
91336,"HOLD ... 2 secs - fixed choice duration, ROUND 7"
93340,"HOLD ... 1 secs - fixed outcome duration, ROUND 7"
93340,"SHOW: Results - reward: 4, CHOICE: gamble"
94340,"CLEAR SCREEN , ROUND 7"
94349,"HOLD ... 1 secs - variable inter-trial delay, ROUND 8"
94349,"SHOW: inter-trial interval"
95350,"HOLD ... 5 secs - variable presentation duration, ROUND 8"
95350,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 1, ROUND 8"
98123,"KEYPRESS: 1, OPTION: 1, ROUND 8"
98124,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 8"
98124,"HOLD ... 2 secs - fixed choice duration, ROUND 8"
100125,"HOLD ... 1 secs - fixed outcome duration, ROUND 8"
100125,"SHOW: Results - reward: 3, CHOICE: sure bet"
101127,"CLEAR SCREEN , ROUND 8"
101135,"HOLD ... 2 secs - variable inter-trial delay, ROUND 9"
101135,"SHOW: inter-trial interval"
103138,"HOLD ... 9 secs - variable presentation duration, ROUND 9"
103138,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 2 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 3, ROUND 9"
105399,"KEYPRESS: 2, OPTION: 2, ROUND 9"
105400,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 9"
105400,"HOLD ... 2 secs - fixed choice duration, ROUND 9"
107401,"HOLD ... 1 secs - fixed outcome duration, ROUND 9"
107401,"SHOW: Results - reward: 2, CHOICE: sure bet"
108407,"CLEAR SCREEN , ROUND 9"
108415,"HOLD ... 6 secs - variable inter-trial delay, ROUND 10"
108415,"SHOW: inter-trial interval"
114419,"HOLD ... 4 secs - variable presentation duration, ROUND 10"
114419,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 4 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 3, ROUND 10"
116151,"KEYPRESS: 2, OPTION: 2, ROUND 10"
116152,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 10"
116152,"HOLD ... 2 secs - fixed choice duration, ROUND 10"
118154,"HOLD ... 1 secs - fixed outcome duration, ROUND 10"
118154,"SHOW: Results - reward: 3, CHOICE: gamble"
119154,"CLEAR SCREEN , ROUND 10"
119163,"HOLD ... 3 secs - variable inter-trial delay, ROUND 11"
119163,"SHOW: inter-trial interval"
122166,"HOLD ... 3 secs - variable presentation duration, ROUND 11"
122166,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 2, ROUND 11"
124479,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 11"
124479,"HOLD ... 2 secs - fixed choice duration, ROUND 11"
124479,"KEYPRESS: 1, OPTION: 1, ROUND 11"
126482,"HOLD ... 1 secs - fixed outcome duration, ROUND 11"
126482,"SHOW: Results - reward: 2, CHOICE: gamble"
127483,"CLEAR SCREEN , ROUND 11"
127491,"HOLD ... 1 secs - variable inter-trial delay, ROUND 12"
127491,"SHOW: inter-trial interval"
