"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
9288,"Game Start by TTL - leaving ready screen"
9288,"TR 1"
9289,"HOLD ... 4 secs ( for scanning )"
9289,"starting game"
13305,"HOLD ... 6 secs - variable presentation duration, ROUND 1"
13305,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 5 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 3, ROUND 1"
15305,"KEYPRESS: 2, OPTION: 2, ROUND 1"
15306,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
15306,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
17308,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
17308,"SHOW: Results - reward: 5, CHOICE: sure bet"
18310,"CLEAR SCREEN , ROUND 1"
18315,"HOLD ... 5 secs - variable inter-trial delay, ROUND 2"
18315,"SHOW: inter-trial interval"
23316,"HOLD ... 3 secs - variable presentation duration, ROUND 2"
23316,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 4, ROUND 2"
25253,"KEYPRESS: 1, OPTION: 1, ROUND 2"
25254,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 2"
25254,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
27257,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
27257,"SHOW: Results - reward: 1, CHOICE: gamble"
28259,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
31898," SLIDER increased, value: 1, key: 2, ROUND 2"
32698," SLIDER increased, value: 2, key: 2, ROUND 2"
32848," SLIDER increased, value: 3, key: 2, ROUND 2"
33385,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
33385,"SUBMIT rating value: 3, key: 3, ROUND 2"
33388,"HOLD ... 9 secs - variable inter-trial delay, ROUND 3"
33388,"SHOW: inter-trial interval"
42392,"HOLD ... 1 secs - variable presentation duration, ROUND 3"
42392,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 5 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 4, ROUND 3"
43396,"ANSWER TIMEOUT REACHED, TOO LATE"
43396,"HOLD ... 1 secs"
43396,"SHOW: LATE SCREEN"
44334,"KEYPRESS: 1, DISABLED"
44398,"CLEAR SCREEN , ROUND 3"
44405,"HOLD ... 3 secs - variable inter-trial delay, ROUND 4"
44405,"SHOW: inter-trial interval"
47406,"HOLD ... 7 secs - variable presentation duration, ROUND 4"
47406,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 0, ROUND 4"
48786,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 4"
48786,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
48786,"KEYPRESS: 1, OPTION: 1, ROUND 4"
