"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
8145,"Game Start by TTL - leaving ready screen"
8145,"TR 1"
8146,"HOLD ... 4 secs ( for scanning )"
8146,"starting game"
12151,"HOLD ... 11 secs - variable presentation duration, ROUND 1"
12151,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 2 GAMBLE RIGHT BET: 1, ROUND 1"
13161,"KEYPRESS: 1, OPTION: 1, ROUND 1"
13162,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
13162,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
15164,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
15164,"SHOW: Results - reward: 2, CHOICE: sure bet"
16166,"CLEAR SCREEN , ROUND 1"
16171,"HOLD ... 2 secs - variable inter-trial delay, ROUND 2"
16171,"SHOW: inter-trial interval"
18173,"HOLD ... 9 secs - variable presentation duration, ROUND 2"
18173,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 5 GAMBLE RIGHT BET: 3, ROUND 2"
19272,"KEYPRESS: 2, OPTION: 2, ROUND 2"
19273,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
19273,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
21277,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
21277,"SHOW: Results - reward: 3, CHOICE: gamble"
22279,"SHOW: RATING SELECTION, initial value: 0, ROUND 2"
25894,"HOLD ... 0 secs - variable inter-trial delay, ROUND 2"
25894,"SUBMIT rating value: 0, key: 3, ROUND 2"
25897,"HOLD ... 7 secs - variable inter-trial delay, ROUND 3"
25897,"SHOW: inter-trial interval"
32898,"HOLD ... 6 secs - variable presentation duration, ROUND 3"
32898,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 3, ROUND 3"
34145,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
34145,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
34145,"KEYPRESS: 1, OPTION: 1, ROUND 3"
36150,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
36150,"SHOW: Results - reward: 1, CHOICE: gamble"
37151,"CLEAR SCREEN , ROUND 3"
37158,"HOLD ... 5 secs - variable inter-trial delay, ROUND 4"
37158,"SHOW: inter-trial interval"
42160,"HOLD ... 8 secs - variable presentation duration, ROUND 4"
42160,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 3 GAMBLE LEFT BET: 6 GAMBLE RIGHT BET: 1, ROUND 4"
43061,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
