"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
27148,"Game Start by TTL - leaving ready screen"
27148,"HOLD ... 4 secs ( for scanning )"
27148,"TR 1"
27148,"starting game"
31155,"HOLD ... 11 secs - variable presentation duration, ROUND 1"
31155,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 2 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 6, ROUND 1"
32693,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 1"
32693,"KEYPRESS: 1, OPTION: 1, ROUND 1"
32694,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
34696,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
34696,"SHOW: Results - reward: 2, CHOICE: sure bet"
35697,"CLEAR SCREEN , ROUND 1"
35702,"HOLD ... 5 secs - variable inter-trial delay, ROUND 2"
35702,"SHOW: inter-trial interval"
40703,"HOLD ... 10 secs - variable presentation duration, ROUND 2"
40703,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 1 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 2"
43109,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
43109,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
43109,"KEYPRESS: 2, OPTION: 2, ROUND 2"
45111,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
45111,"SHOW: Results - reward: 0, CHOICE: gamble"
46112,"CLEAR SCREEN , ROUND 2"
46118,"HOLD ... 4 secs - variable inter-trial delay, ROUND 3"
46118,"SHOW: inter-trial interval"
50119,"HOLD ... 10 secs - variable presentation duration, ROUND 3"
50119,"SHOW: OPTION SELECTION, OPTION POSITIONS: [sureBet,gamble] SURE BET: 6 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 6, ROUND 3"
51649,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 3"
51649,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
51649,"KEYPRESS: 1, OPTION: 1, ROUND 3"
53651,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
53651,"SHOW: Results - reward: 6, CHOICE: sure bet"
54653,"SHOW: RATING SELECTION, initial value: 0, ROUND 3"
57008," SLIDER increased, value: 1, key: 2, ROUND 3"
57449," SLIDER increased, value: 2, key: 2, ROUND 3"
58833,"HOLD ... 0 secs - variable inter-trial delay, ROUND 3"
58833,"SUBMIT rating value: 2, key: 3, ROUND 3"
58835,"HOLD ... 5 secs - variable inter-trial delay, ROUND 4"
58835,"SHOW: inter-trial interval"
63836,"HOLD ... 3 secs - variable presentation duration, ROUND 4"
63836,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 4"
65632,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
65632,"KEYPRESS: 2, OPTION: 2, ROUND 4"
65633,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
67634,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
67634,"SHOW: Results - reward: 4, CHOICE: sure bet"
68635,"SHOW: RATING SELECTION, initial value: 0, ROUND 4"
70208," SLIDER increased, value: 1, key: 2, ROUND 4"
70552," SLIDER increased, value: 2, key: 2, ROUND 4"
71437,"HOLD ... 0 secs - variable inter-trial delay, ROUND 4"
71437,"SUBMIT rating value: 2, key: 3, ROUND 4"
71439,"HOLD ... 2 secs - variable inter-trial delay, ROUND 5"
71439,"SHOW: inter-trial interval"
73439,"HOLD ... 7 secs - variable presentation duration, ROUND 5"
73439,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 2, ROUND 5"
74700,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 5"
74700,"HOLD ... 2 secs - fixed choice duration, ROUND 5"
74700,"KEYPRESS: 2, OPTION: 2, ROUND 5"
76703,"HOLD ... 1 secs - fixed outcome duration, ROUND 5"
76703,"SHOW: Results - reward: 6, CHOICE: sure bet"
77705,"CLEAR SCREEN , ROUND 5"
77710,"HOLD ... 3 secs - variable inter-trial delay, ROUND 6"
77710,"SHOW: inter-trial interval"
80711,"HOLD ... 7 secs - variable presentation duration, ROUND 6"
80711,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 3 GAMBLE LEFT BET: 4 GAMBLE RIGHT BET: 6, ROUND 6"
82368,"HIGHLIGHT CHOICE: OPTION: 1, ROUND 6"
82368,"HOLD ... 2 secs - fixed choice duration, ROUND 6"
82368,"KEYPRESS: 1, OPTION: 1, ROUND 6"
84370,"HOLD ... 1 secs - fixed outcome duration, ROUND 6"
84370,"SHOW: Results - reward: 6, CHOICE: gamble"
85372,"SHOW: RATING SELECTION, initial value: 0, ROUND 6"
86896," SLIDER increased, value: 1, key: 2, ROUND 6"
87248," SLIDER increased, value: 2, key: 2, ROUND 6"
88324,"HOLD ... 0 secs - variable inter-trial delay, ROUND 6"
88324,"SUBMIT rating value: 2, key: 3, ROUND 6"
88326,"HOLD ... 3 secs - variable inter-trial delay, ROUND 7"
88326,"SHOW: inter-trial interval"
91327,"HOLD ... 10 secs - variable presentation duration, ROUND 7"
