"Time_ms","Description"
0,"KEYPRESS: n, leaving intro screen"
1703,"Game Start by TTL - leaving ready screen"
1703,"TR 1"
1704,"HOLD ... 4 secs ( for scanning )"
1704,"starting game"
5710,"HOLD ... 5 secs - variable presentation duration, ROUND 1"
5710,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 6 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 2, ROUND 1"
6822,"KEYPRESS: 2, OPTION: 2, ROUND 1"
6823,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 1"
6823,"HOLD ... 2 secs - fixed choice duration, ROUND 1"
8826,"HOLD ... 1 secs - fixed outcome duration, ROUND 1"
8826,"SHOW: Results - reward: 6, CHOICE: sure bet"
9827,"CLEAR SCREEN , ROUND 1"
9833,"HOLD ... 2 secs - variable inter-trial delay, ROUND 2"
9833,"SHOW: inter-trial interval"
11835,"HOLD ... 4 secs - variable presentation duration, ROUND 2"
11835,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 1 GAMBLE RIGHT BET: 3, ROUND 2"
13046,"KEYPRESS: 2, OPTION: 2, ROUND 2"
13047,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 2"
13047,"HOLD ... 2 secs - fixed choice duration, ROUND 2"
15047,"HOLD ... 1 secs - fixed outcome duration, ROUND 2"
15047,"SHOW: Results - reward: 4, CHOICE: sure bet"
16048,"CLEAR SCREEN , ROUND 2"
16054,"HOLD ... 2 secs - variable inter-trial delay, ROUND 3"
16054,"SHOW: inter-trial interval"
18055,"HOLD ... 6 secs - variable presentation duration, ROUND 3"
18055,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 4 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 2, ROUND 3"
18914,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 3"
18914,"KEYPRESS: 2, OPTION: 2, ROUND 3"
18915,"HOLD ... 2 secs - fixed choice duration, ROUND 3"
20917,"HOLD ... 1 secs - fixed outcome duration, ROUND 3"
20917,"SHOW: Results - reward: 4, CHOICE: sure bet"
21920,"SHOW: RATING SELECTION, initial value: 0, ROUND 3"
23710," SLIDER increased, value: 1, key: 2, ROUND 3"
23974," SLIDER increased, value: 2, key: 2, ROUND 3"
24246," SLIDER increased, value: 3, key: 2, ROUND 3"
24834,"HOLD ... 0 secs - variable inter-trial delay, ROUND 3"
24834,"SUBMIT rating value: 3, key: 3, ROUND 3"
24836,"HOLD ... 4 secs - variable inter-trial delay, ROUND 4"
24836,"SHOW: inter-trial interval"
28841,"HOLD ... 3 secs - variable presentation duration, ROUND 4"
28841,"SHOW: OPTION SELECTION, OPTION POSITIONS: [gamble,sureBet] SURE BET: 1 GAMBLE LEFT BET: 0 GAMBLE RIGHT BET: 6, ROUND 4"
30078,"HIGHLIGHT CHOICE: OPTION: 2, ROUND 4"
30078,"HOLD ... 2 secs - fixed choice duration, ROUND 4"
30078,"KEYPRESS: 2, OPTION: 2, ROUND 4"
32081,"HOLD ... 1 secs - fixed outcome duration, ROUND 4"
32081,"SHOW: Results - reward: 1, CHOICE: sure bet"
33083,"SHOW: RATING SELECTION, initial value: 0, ROUND 4"
35014,"HOLD ... 0 secs - variable inter-trial delay, ROUND 4"
35014,"SUBMIT rating value: 0, key: 3, ROUND 4"
35017,"HOLD ... 3 secs - variable inter-trial delay, ROUND 5"
35017,"SHOW: inter-trial interval"
38019,"HOLD ... 5 secs - variable presentation duration, ROUND 5"
